,top_category,sub_category,shops
10,accessories,gloves-and-mittens,"['MaAndPaPeddle', 'WileyHopeDesigns', 'storiarts', 'RCPersonalizedGifts', 'runnickyrun', 'BlumenKinderSeattle', 'sweetstellasboutique', 'dawnsthumbguards', 'LBFelt', 'NativeBabydoll', 'pawstar', 'EitanyaDesigns', 'MaddisonsRainbow', 'handicraftland', 'ZOLNAR', 'HarlowMade', 'TheCrystalShoeCo', 'ReyyanCrochet', 'klintawool', 'MikelinaArt', 'TheCCVillage', 'MyKnitCroch', 'MadeAgainMittens', 'LoveFuzz', 'SophieAndHerStore', 'NorthernLoopKnitwear', 'TorchSingerVintage', 'ValkinThreads', 'lyralyra', 'GreyMatterCollection', 'Aerophane', 'RememberStella', 'toptrimming', 'TLVgoods', 'KnittingCarnival', 'artnida', 'MumlaShop', 'LiLiSocks', 'nbGlovesAndMittens', 'miraclemittens', 'peruvianplace', 'DachuksB']"
11,accessories,umbrellas-and-rain-accessories,"['customvinylbydesign', 'scrapsoflovebyjen', 'WeddingParasols', 'RedWalrusShoppe', 'DesignsByBrandiCo', '4BrokeGirls', 'LazyJanesBoutique', 'TheCrystalShoeCo', 'nakeddecor', 'HolyCowproducts', 'LoveUmbrellas', 'ChoCoB', 'TwoFourFoxyDesigns', 'CrystalotusCreations', 'SweetheartsSouthern', 'MiaSombrilla', 'LilLuLusShop', 'AngelasGiftShop', 'SweetnSouthernCreati', 'MagnificenceBridal', 'ParasolsbyDesign', 'TheDrinkingFox', 'AnnieNCompany', 'HuttonandBrown', 'TheGiftingSpot', 'RevelryPartyCompany', 'EmmabellasDesigns', 'MLadysParasols', 'TinyTortoiseSC', 'vintagebellewedding', 'congcongdesign', 'TurpinKreations', 'SouthernSisterShop', 'EarthyFabric', 'DesignsbyBurnaleeja', 'KatzCloset', 'RibbonsBowsAndGems', 'NewEnglandTreasure', 'INeedPromotionals', 'CaSales', 'AshTreeMeadowDesigns', 'HBSouthernInspired']"
12,bags-and-purses,keychains-and-lanyards,"['MelissasMonograms', 'Radmarkers', 'artbymorgie', 'GreyFoxTextiles', 'LittleCreationsByMWL', 'VantlerLeather', 'AllThingsHipAndCool', 'TheLonelyMoose', 'SteviLus', 'madebyperri', 'Nelliebead', 'belleadees', 'PawtasticDesignsGems', 'accessoriesbyjamiep', 'MagicalMonograms', 'catonealdesigns', 'VetroJewelryDesigns', 'LCMetalArt', 'BagEnvy', 'StickEmUpDecalsAZ', 'moeshandcrafted', 'permanentbaggage', 'MyHeartHasPlans', 'OakHillDesigns', 'jadejourney', 'MavenMetalsInc', 'shoproyalbanana', 'FireflyLaneStamping', 'ManandDogDesigns', 'mojgon', 'ShopPrettyinRose', 'PrettieCuteBoutique', 'JPQuiltsandMoreLLC', 'JillMakes', 'LilMissDooLolly', 'SymbolicReflections', 'JewelryLoveMoments', 'BadgeReelsnButtons', 'midwestcharmAH', 'customisedbyclaire', 'PersonalBlessings', 'TheGatorbug']"
13,bags-and-purses,electronics-cases,"['NatsNicheByNatalie', 'LunaSavita', 'dadastickers', 'MonogramItDarling', 'thetimeforus', 'CathyKDesigns', 'EVBTLEATHER', 'NebraskaVinyl', 'AnchorAndAxe', 'NashvilleDecals', 'MagesticFox', 'MascotCase', 'barvaleather', 'CaseGears', 'ShopOhMyGoodies', 'OhioDesignSpace', 'darthstickers', 'HamanHideLeather', 'SarahJadeCreations', 'fenot', 'TopCaseUSA', 'MarbleMacBook', 'evoncase', 'LaPetiteEugenes', 'RRCountryCreations', 'Geekals', 'kailochic', 'iPhoneCaseLove', 'casesfactory', 'CaseYard', 'Casehype', 'PaiBai', 'RockSteadyCases', 'FabStory', 'SkinLee', 'HelloNutcase', 'TopHome', 'LemurCases', 'SunshineVinyl', 'NorthBased', 'TreeAndArrow', 'VNLcompany']"
14,bags-and-purses,handbags,"['SmiLeStyles', 'EVBTLEATHER', 'KiliDesign', 'tippythai', 'roughandtumblebags', 'TakeItPersonallySB', 'Laroll', 'AyeletShachar', 'OakandBlossom', 'FINCHandFOX', 'BagsByPancha', 'CRAFTSFAIRua', 'bloomsnbrides', 'CarmelGoldental', 'DesignsbyApril1234', 'CyanByMiriWeiss', 'itsLark', 'SanumiLeatherGoods', 'ItsEmbroideredBaby', 'TheLeatherStore', 'thislovesthat', 'OrisDesigns', 'OriginalClub', 'SimplySewPrecious', 'MadlyYoursCollection', 'LeahLerner', 'KayBellaChic', 'CloudsplitterBags', 'HectorsHouseCraft', 'christystudio', 'SouthernTradeMark', 'ladybuq', 'MaxJBoutique', 'piperscrossing', 'atlaspast', 'JuniperAndLace', 'FidelioBags', 'janinekingdesigns', 'girlbyAileen', 'Badimyon', 'permanentbaggage', 'ChicLeather']"
15,bags-and-purses,totes,"['ikabags', 'SouthernTLC', 'OakandBlossom', 'BwwBag', 'WhitneyJude', 'ShopSimpleJoy', 'nnichols', 'PaolaBrownShop', 'LBArtworks', 'bowdaciousbaby', 'WinsomeByDesign', 'tippythai', 'RedElephantClothing', 'xFEBRUARYx', 'ObviousState', 'AskMeAboutPlexusSwag', 'PreppyThreads', 'MugableMugs', 'toshibags', 'RedLeaderUK', 'GracefulGreetingCo', 'SweetThoughtBoutique', 'NATURALHERITAGEBAGS', 'ceridwenDESIGN', 'GiftsHappenHere', 'parsik93', 'WeddingsByLeann', 'NellHarperLeather', 'OhSewPersonalized', 'DashForward', 'TheParisPrintShop', 'SouthernTradeMark', 'HeartAndWillowPrints', 'MaxJBoutique', 'jessicahogarth', '28PaperClips', 'PLGdesigns', 'morelle', 'boRann', 'PrettyPersonalGifts', 'zoeysattic', 'ModernVintageMarket']"
16,bags-and-purses,pouches-and-coin-purses,"['AppleWhite', 'TGNCreations', 'creationsbyarlene', 'OriginalClub', 'HahnStitched', 'Yamok', 'JulietteRoseDesigns', 'MarfDaze', 'Rosewine', 'zakkastudio', 'StarlightBags', 'organizedmesss', 'TUMABROTHERS', 'RossMiu', 'NerdandNeedle', 'WhiteMall', 'Muarta', 'Lindock', 'ELLKO', 'miisong', 'LeahLerner', 'ceridwenDESIGN', 'CuvalKese', 'destinationhandmade', 'AwesomeWomen', 'CottonTimes', 'AmandaFairDesigns', 'lovebugsco', 'Divanitas', 'Chokdeesign', 'TalentedApple', 'Handmadebyani', 'MichiganMaille', 'JPATPURSES', 'RelishSav', 'OnPointDesignsbyLu', 'loliscreations', 'RueVogueShoppe', 'lazydoll', 'lireca', 'CrochetNStitch', 'TheCuriousNeedle']"
17,bags-and-purses,wallets-and-money-clips,"['LembergLeather', 'SwankyBadgerDesign', 'AprilandKiwi', 'MrLentz', 'CreationsByAngel', 'IngeniousBros', 'barvaleather', 'HouseofJackCo', 'AyeletShachar', 'Etchey', 'EdenWars', 'RoseLeatherCrafting', 'SandSLeatherCraft', 'FaithOnEarth', 'Artycult', 'JoyfulMoose', 'PLGdesigns', 'toshibags', 'MarsZoop', 'ELEPHANTBATTERY', 'TheJewelryGirlsPlace', 'JooJoobs', 'ATime4Everything', 'TealsPrairie', 'GrandmasLittleLilly', 'PrettyPictureGiftsCo', 'hardweardesigns', 'minjing', 'ThompsonClassWallets', 'SolidLeatherCo', 'ohsoretro', 'SultansShopNy', 'MyPersonalMemories', 'PequenaJoaninha', 'EverythingDecorated', 'ChicMonogram', 'TheLeatherStore', 'CollectibleCorner', 'MarkedMoments', 'geneofstyle', 'Mdowlingdesigns', 'snapincharms']"
18,bags-and-purses,cosmetic-and-toiletry-storage,"['stephscustoms', 'DeerTrackDesign', 'IzzyAndOli', 'rennadeluxe', 'fourbugsinarug', 'JustBeBohoCollective', 'LittleLovesDesigns', 'FoxEDC', 'Mybebecadum', 'ESEFApparel', 'DelicateIndustry1', 'ElenaIllustration', 'GoodChic', 'FelixStreetStudio', 'SassyGalsWisdom', 'JoyfulMoose', 'ArtPillow', 'HoneyHiveFive', 'DoubleBMonograms', 'TimeForLoveShop', 'donebetter', 'PlatoSquirrel', 'PersonalizedFinds', '28PaperClips', 'TheBestOfMeDesigns', 'BOLDbyTina', 'LiveStyled', 'SoBlessedMonogrammed', 'KerrysCrafts', 'PuntoBelle', 'Embrodeco', 'OplichLeatherGoods', 'NoLongerBlue', 'SouthernTradeMark', 'ModernMakerie', '4BrokeGirls', 'MadeOnMainVT', 'SewNerdyGifts', 'Bagsmadetoorder', 'TheCottonRooster', 'MarkingOurHome', 'TopHome']"
19,bags-and-purses,backpacks,"['SisterlyStitchShop', 'RedElephantClothing', 'DoubleBMonograms', 'Phestyn', 'YourBags', 'D84Designs', 'ShopSimpleJoy', 'DstarBoutique', 'Badimyon', 'GeauxUnique', 'LimorGalili', 'EdwardsMedia', 'SmithsDecorForYouLLC', 'StylishMonogramGifts', 'barvaleather', 'kozykidzboutique', 'StephenJosephByPoshy', 'PinkMustache1', 'UrbanTrails', 'GUDbags', 'RuthKraus', 'JustKraftShop', 'hannisch', 'stacysplace004', 'SassySisterMonogram', 'Edingstudio', 'MauriceMonograms', 'KeepAnEyeLeather', 'ItsyBitsyWear', 'pingypearshop', 'AllAboutTheMonogram', 'ChintamaniAlchemi', 'CyanByMiriWeiss', 'SewChicNC', 'JoyfulMoose', 'NATURALHERITAGEBAGS', 'xiaoweihong', 'TheDreamyDaisy', 'SomethingYouGifts', 'SouthernTradeMark', 'GiftsHappenHere', 'Made4Friends']"
20,bags-and-purses,luggage-and-travel,"['MyPersonalMemories', 'HOUSEofLH', 'LembergLeather', 'BrambleandBeene', 'AyeletShachar', 'LeatherRachiba', 'HoltzLeather', 'VinylPassportCovers', 'DancingWorkbench', 'Markfabric', 'HarberLondon', 'SweenksCustomLaser', 'MonogramExpress', 'FelixStreetStudio', 'ChicMonogram', 'SweetwaterMonograms', 'Exsect', 'RSVPhandcrafted', 'PEOPLESLEATHER', 'LightyTavy', 'SisterlyStitchShop', 'itsLark', 'CuriousCaseGifts', 'Highway12Designs', 'LuxuryLeatherLondon', 'GiftsAndTravel', 'MAHILeather', 'RiversideBridal77', 'TangerineForest', 'Embrodeco', 'SanumiLeatherGoods', 'RelishSav', 'SchmuckesFraeulein', 'sewsassybootique', 'KelleyThreads', 'SouthernTradeMark', 'ShirtByHome', 'Twininas', 'GiftsHappenHere', 'WhenitRainsPaper', 'SerguioRogetti', 'JoyfulMoose']"
21,bags-and-purses,accessory-cases,"['JoyfulMoose', 'MacClayLeather', 'TrippinStitches', 'sweetheartsinner', 'CosmicFirefly', 'AlonmyCrystalCrafts', 'Lukiedukie', 'ProperApronCompany', 'warmpersonality', 'ConcealedCarrier', 'AnniesHours', 'westcoasteast', 'tiposcreations', 'myDeckBox', 'ThimblesnObjectDart', 'HiCoolCase', 'PlainfieldMFG', 'zeitlosChic', 'EnglishShop', 'che655', 'radtastical', 'GustiLederShop', 'AngerRefuge', 'ValentichBags', 'auniquetouch', 'TopCaseUSA', 'ledressingdesuika', 'stellarcustomimages', 'KitsForTheCure', 'ContrivedtoCharm', 'baerigberlin', 'MyKestrelKreations', 'Tschudls', 'montigaga', 'StateOfMuse', 'malafola', 'MagicLeatherStudio', 'fleursdeboutis', 'BeyondThePeachTree', 'CutDesign', 'GatheringLegacies', 'SewHomemadebyAnna']"
22,bags-and-purses,messenger-bags,"['barvaleather', 'tippythai', 'metaphore', 'christystudio', 'SolidLeatherCo', 'ikabags', 'atlaspast', 'Dollypun', 'goldenponies', 'MrLentz', 'POPEQ', 'paigespastime', 'Tram21', 'nottoc', 'RoadRunnerBags', 'Markfabric', 'Badimyon', 'ARoadThroughTime', 'SerguioRogetti', 'LolafalkLeathergoods', 'AuxGrandsRemedes', 'VIVASWEETLOVE', 'SomethingStrong', 'maykobags', 'Thanashop888', 'ClothingCabin', 'Lemum', 'litacraft', 'skipnwhistle', 'OrisDesigns', 'BennyBeeLeather', 'ValDoVintage', 'TheSpiderandFly', 'Rambag', 'PersonallyPoshByNic', 'QUALITYcovers', 'AtelierHandmadecom', 'EpicLinen', 'VintageArmyShop', 'TheLeatherExpert', 'PorteenGear', 'reabags']"
23,bags-and-purses,diaper-bags,"['ikabags', 'marandalee', 'christystudio', 'Markfabric', 'TheLollipopLabelShop', 'marabaradesign', 'simpleanalogy', 'JonaCreationBoutique', 'JessieBlume', 'BrownieGifts', 'litacraft', 'izyandoly', 'JoyfulMoose', 'TheYellowPacifier', 'ShopSimpleJoy', 'PreciousLittleTot', 'hopbag', 'RagCrazy', 'onesweetworldtreats', 'AmyLynnStitches', 'ModernBabyDesign', 'BwwBag', 'BagEnvy', 'BlackArrowStudio', 'nottoc', 'Fluffybabystuff', 'ThreeLittleChickadee', 'WhiteElmBags', 'fourbugsinarug', 'JuliansBoutique', 'LauraLeeDesigns108', 'ForestBags', 'SofiaBedding', 'ElevenRoostersJunior', 'CountingtheBlessings', 'tippythai', 'naturallybymeg', 'ickadybag', 'treesizeverse', 'RenatesNaehstube', 'VickiElleHandmade', 'KimmyKylieCo']"
24,bags-and-purses,food-and-insulated-bags,"['CanCuddler', 'TheFuzzyStitch', 'InLoveWithSunflowers', 'parsik93', 'HideAndDrink', 'ItalicHome', 'DoubleBMonograms', 'carriedawaybags', 'SisterlyStitchShop', 'ShopSimpleJoy', 'feellinen', 'StitchingDesigns', 'HustleMama', 'Bagitconscious', 'GiftsHappenHere', 'SomethingYouGifts', 'ladybird113', 'IAmCreationsbyIvy', 'OplichLeatherGoods', 'SouthernTLC', 'SewProDesigns', 'Zookaboo', 'SCPersonalTouch', 'MagpieCookshop', 'bowsnbugs', 'SimplyPracticalStuff', 'laceandtwig', 'ChicBasics1', 'Lillieandcapri', 'ManGiftsRus', 'Noetimetobeserious', 'OysterBayEmbroidery', 'QuatreMursUnToitInc', 'Indigobirddesign', 'SimplyHempHomeware', 'SewWonderfullyMade4U', 'LeLaStudio', 'TeamJennzWine', '19elephants', 'LLMonograms', 'alittlelark', 'OohBabyInfinity']"
25,bags-and-purses,market-bags,"['LoveBohemians', 'Maewoven', 'KelleysCollections', 'BambouchicParis', 'SunshineAndJanet', 'elkedagelbrich', 'BlackTypographic', 'LikeIguana', 'AuPissenlit', 'Ethicalinfant', 'HirundoShop', 'Lupinette', 'CaravanVintageRetro', 'VintiqueTree', 'KnotaGeek', 'HomeDecorDrawing', 'kultur3000', 'MoroccanInteriors', 'KNOPFGELB', 'KTRYNA', 'AmaiaPapayaShop', 'Coolandthebag', 'Droledebroderie', 'MBmade', 'MajorelDesign', 'LisaDurrantPrints', 'bearandrobotstudio', 'FiMaKiS', 'Reska', 'RaketeBerlin', 'RodwellandAstor', 'DuckSacks', 'Ukrainevintage', 'Moroccan1handicrafts', 'ideachic', 'NomadEssentials', 'bubblesemb', 'WAAMIndustries', 'TheFishboneBride', 'WillowSouvenir', 'LylaGraceDesign', 'MCMarquisDesign']"
26,bags-and-purses,fanny-packs,"['CosmicCelt', 'TalismanaDesigns', 'unicraftbag', 'JungleTribe', 'AnkeLeathers', 'GekkoBoHotique', 'GAGTHREADS', 'reneesvanity', 'SteezyPack', 'SiennaBartolomei', 'HUSTLEANDHIDE', 'ArimaDesigns', 'DesignsbyApril1234', 'RuthKraus', 'BFreshGear', 'TheMayanMarket', 'ProbadgeLtd', 'bagandbaby', 'NancyPKdesigns', 'beksiesboutique', 'KANDYPACKOfficial', 'EDQueenDesigns', 'fairyU', 'rocksandsalt', 'PinkPineappleShoppe', 'piprobins', 'ThaiArtistCollective', 'fairyland6', 'Hipsypixie', 'HustleMama', 'NAZVA', 'gamedaychicflorida', 'Beadsandbaublesdall', 'minus', 'Kinies', 'bolledistracci', 'litacraft', 'shopsproutboutique', 'HipNotionsToolBelts', 'delikates', 'ReclamationDept', 'MandalevyDesigns']"
27,bags-and-purses,sports-bags,"['PearLilly', 'PiperGraceGifts', 'veradashop', 'BellaBlingbyMelissa', 'cre8ivgifts', 'ScKreations', 'MrLentz', 'OohBabyInfinity', 'AlbanBikeBags', 'knoxmtnbags', 'iluvmonograms2', 'SouthpawBaseball', 'StaticClimbing', 'DoubleBMonograms', 'BugnBun', 'WithCongratulations', 'Lotthilde', 'GonzoLizard', 'SimplyMarvelousGifts', 'MarinaraTrench', 'Velotton', 'NannaBonkers', 'RobeyPlaceVintage', 'RoselleUnlimited', 'effiehandmade', 'MyCustomYogaMat', 'PandemoniumClothing', 'FernwehUK', 'SunshineAndZen', 'Hobbitbags', 'indigotangerine', 'ChalkBagsNadamlada', 'parispacks', 'Begforabag', 'PremierPersonalised', 'CJKRanchBling', 'hannisch', 'TheApplewoodLane', 'TracyReneaHandmade', 'goodmarvin', 'bowdaciousbaby', 'GYMNASTICSgripBAGS']"
28,bags-and-purses,clothing-and-shoe-bags,"['CreativeCuddles', 'happythoughtsgifts', 'Mizifu', 'oldsowhat', 'CreationsSianne', 'cre8ivgifts', 'RubiesandGoldGIFTS', 'HiromiParis', 'GatheringLegacies', 'fleursdeboutis', 'plattermatter', 'AmshinaApparel', 'BeeRichDesign', 'BloominBooties', 'PersonalizedFinds', 'LadyKolstad', 'kimonocuty', 'EmmaLouisesLegacy', 'Fildestoiles', 'MORELIGHTS', 'MarysFunkyFinds', 'OneLeggedGoose', 'SimplySistersGreek1', 'MilliesGifts', 'PolandNol', 'BiasBespoke', 'KayKreations2012', 'LaTiendadeMariPili', 'Angela6773', 'malamela', 'PartsNParts', 'CelestialSews', 'CherryTKnitCo', 'LakeHouseCraftSupply', 'Atelieremmarose', 'MinuMargot', 'MrsMzSewingRoom', 'Markeza', 'mipana', 'MyAbishai', 'SewnFromTheHeart4U', 'TotallyYoursMonogram']"
29,clothing,womens-clothing,"['AlexDress', 'EmaxTees', 'Uniquemind', 'cafvram', 'Tmeprinting', 'AnnaBridalBoutique', 'SoPinkUK', 'VUTIQ', 'RCTees', 'MagicTulleCouture', 'TNTCustomApparel', 'EmbieBaby', 'NumberTwoFan', 'Whynotstopnshop', 'YeezyshopCo', 'etsy2petch', 'LaceBridal', 'Kimsically', 'NaughtyGirlShop', 'FreeSpiritInk', 'Uzura', 'BlvckedOut', 'TeeHeeHeeShirt', 'CarolinaMagnoliaDes', 'BlondeVagabond', 'ElleBCreations', 'SeriouslyHappyTees', 'FullSpectrumApparel', 'nicandthenewfie', 'TwoToneTeeToOne', 'Veroexshop', 'ElectricWest', 'ZafiroStreet', 'Dressesall4you', 'CuteShirts', 'FlowfoxDesigns', 'FITUMI', 'Chicatory', 'LittleButFierceCo', 'SStreetwearSociety', 'OhSewPersonalized', 'PartyTaskBoutique']"
